Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-10-18,165.2,169.92,164.1,169.34,1437938.0,-0.03999999999999204,0,-222766.0,0
2019-10-21,169.5,172.16,169.5,170.88,994619.0,5.680000000000007,1,-443319.0,0
2019-10-22,171.1,171.98,170.18,171.02,763069.0,1.5200000000000102,1,-231550.0,0
2019-10-23,168.8,171.94,168.24,171.62,835720.0,0.5200000000000102,1,72651.0,1
2019-10-24,172.08,175.16,172.06,175.0,1297823.0,6.199999999999989,1,462103.0,1
2019-10-25,175.08,176.3,172.26,172.36,1136154.0,0.28000000000000114,1,-161669.0,0
2019-10-28,173.0,176.72,172.76,176.12,1148433.0,1.039999999999992,1,12279.0,1
2019-10-29,176.0,176.16,172.82,173.3,1096469.0,0.30000000000001137,1,-51964.0,0
2019-10-30,178.5,178.5,172.86,174.58,1554028.0,-1.4199999999999875,0,457559.0,1
2019-10-31,173.06,173.72,169.64,170.7,1439069.0,-7.800000000000011,0,-114959.0,0
2019-11-01,172.1,173.14,171.26,172.7,851623.0,-0.36000000000001364,0,-587446.0,0
2019-11-04,175.2,177.98,174.9,177.72,1743303.0,5.6200000000000045,1,891680.0,1
2019-11-05,177.72,178.36,176.64,178.2,1135005.0,3.0,1,-608298.0,0
2019-11-06,177.76,179.9,177.46,179.66,1080655.0,1.9399999999999977,1,-54350.0,0
2019-11-07,180.0,184.32,180.0,184.24,1397762.0,6.480000000000018,1,317107.0,1
2019-11-08,183.78,183.78,180.76,181.68,925995.0,1.6800000000000068,1,-471767.0,0
2019-11-11,180.0,181.88,179.0,181.5,961942.0,-2.280000000000001,0,35947.0,1
2019-11-12,182.08,183.1,181.24,182.94,709387.0,2.9399999999999977,1,-252555.0,0
2019-11-13,181.1,181.62,179.14,181.0,762000.0,-1.0800000000000125,0,52613.0,1
2019-11-14,180.08,181.18,179.02,179.92,863943.0,-1.1800000000000068,0,101943.0,1
2019-11-15,180.62,183.46,180.32,183.46,1211119.0,3.3799999999999955,1,347176.0,1
2019-11-18,183.0,183.2,174.14,175.94,2011635.0,-4.680000000000007,0,800516.0,1
2019-11-19,176.08,179.8,176.08,177.32,1107406.0,-5.680000000000007,0,-904229.0,0
2019-11-20,176.74,176.74,174.94,175.5,704314.0,-0.5800000000000125,0,-403092.0,0
2019-11-21,174.64,177.28,173.32,176.34,832869.0,-0.4000000000000057,0,128555.0,1
2019-11-22,176.22,178.3,176.02,177.08,858076.0,2.440000000000026,1,25207.0,1
2019-11-25,178.48,179.64,176.98,177.0,562809.0,0.7800000000000011,1,-295267.0,0
2019-11-26,177.24,177.78,175.64,175.88,707408.0,-2.5999999999999943,0,144599.0,1
2019-11-27,176.3,179.0,175.4,177.88,658364.0,0.6399999999999864,1,-49044.0,0
2019-11-28,177.4,177.44,176.08,176.7,447410.0,0.39999999999997726,1,-210954.0,0
2019-11-29,175.56,177.18,175.2,175.48,486374.0,-1.920000000000016,0,38964.0,1
2019-12-02,175.68,178.42,174.36,174.78,1050595.0,-0.7800000000000011,0,564221.0,1
2019-12-03,175.12,176.86,172.16,174.3,1260756.0,-1.3799999999999955,0,210161.0,1
2019-12-04,175.0,176.92,174.08,175.16,700597.0,0.03999999999999204,1,-560159.0,0
2019-12-05,175.24,176.66,174.32,174.94,530821.0,-0.060000000000002274,0,-169776.0,0
2019-12-06,175.58,177.12,174.4,176.6,662523.0,1.3599999999999852,1,131702.0,1
2019-12-09,176.7,177.82,175.72,175.82,484551.0,0.23999999999998067,1,-177972.0,0
2019-12-10,175.12,175.92,172.44,175.7,794660.0,-1.0,0,310109.0,1
2019-12-11,175.6,178.68,175.54,178.24,914204.0,3.1200000000000045,1,119544.0,1
2019-12-12,178.3,180.28,176.88,179.58,907633.0,3.980000000000018,1,-6571.0,0
2019-12-13,183.16,187.74,182.88,183.3,2233831.0,5.0,1,1326198.0,1
2019-12-16,183.54,184.08,180.64,182.24,717892.0,-0.9199999999999875,0,-1515939.0,0
2019-12-17,182.42,182.64,180.54,181.1,658915.0,-2.4399999999999977,0,-58977.0,0
2019-12-18,180.1,180.86,179.34,179.68,731439.0,-2.7399999999999807,0,72524.0,1
2019-12-19,179.2,179.92,175.78,177.1,928407.0,-3.0,0,196968.0,1
2019-12-20,176.34,178.68,176.24,176.96,1664262.0,-2.2399999999999807,0,735855.0,1
2019-12-23,176.14,176.72,174.82,176.16,599601.0,-0.18000000000000682,0,-1064661.0,0
2019-12-27,176.88,177.12,175.16,176.66,394014.0,0.5200000000000102,1,-205587.0,0
2019-12-30,176.5,176.98,175.96,176.24,276189.0,-0.6399999999999864,0,-117825.0,0
2020-01-02,175.6,180.74,175.56,180.5,814205.0,4.0,1,538016.0,1
2020-01-03,178.9,179.24,175.0,176.64,948457.0,1.039999999999992,1,134252.0,1
2020-01-06,175.0,176.62,173.18,176.62,658053.0,-2.280000000000001,0,-290404.0,0
2020-01-07,177.14,178.6,176.06,176.06,932694.0,1.0600000000000023,1,274641.0,1
2020-01-08,175.0,176.86,174.18,176.82,840853.0,-0.3199999999999932,0,-91841.0,0
2020-01-09,179.0,182.36,177.88,181.72,1338153.0,6.719999999999999,1,497300.0,1
2020-01-10,182.0,186.84,181.18,185.52,1518740.0,6.52000000000001,1,180587.0,1
2020-01-13,186.02,186.4,184.68,185.28,812123.0,3.280000000000001,1,-706617.0,0
2020-01-14,185.3,186.32,183.58,185.22,767691.0,-0.8000000000000114,0,-44432.0,0
2020-01-15,185.14,185.48,181.02,182.62,1068497.0,-2.680000000000007,0,300806.0,1
2020-01-16,183.1,183.28,178.64,179.92,925738.0,-5.219999999999999,0,-142759.0,0
2020-01-17,181.24,183.4,180.68,181.36,988847.0,-1.7399999999999807,0,63109.0,1
2020-01-20,181.0,183.26,180.42,182.02,422072.0,0.7800000000000011,1,-566775.0,0
2020-01-21,180.6,183.42,179.76,181.3,649325.0,0.30000000000001137,1,227253.0,1
2020-01-22,181.9,183.98,178.7,179.14,1049016.0,-1.460000000000008,0,399691.0,1
2020-01-23,178.2,180.12,176.38,176.58,837482.0,-5.319999999999993,0,-211534.0,0
2020-01-24,178.5,179.5,176.74,177.52,895854.0,-0.6799999999999784,0,58372.0,1
2020-01-27,174.5,174.8,170.48,171.64,1356742.0,-6.860000000000014,0,460888.0,1
2020-01-28,173.0,173.06,170.5,172.46,985026.0,-2.039999999999992,0,-371716.0,0
2020-01-29,173.0,173.98,169.46,169.92,907400.0,-3.0800000000000125,0,-77626.0,0
2020-01-30,168.22,170.4,163.56,164.0,1649026.0,-9.0,0,741626.0,1
2020-01-31,163.0,164.9,161.96,162.38,1425734.0,-5.840000000000003,0,-223292.0,0
2020-02-03,162.46,163.48,161.38,162.8,858700.0,-0.19999999999998863,0,-567034.0,0
2020-02-04,163.36,167.56,162.72,167.08,1113395.0,4.6200000000000045,1,254695.0,1
2020-02-05,167.5,172.28,165.66,170.64,1263246.0,7.279999999999973,1,149851.0,1
2020-02-06,172.52,173.72,170.16,170.4,773462.0,2.9000000000000057,1,-489784.0,0
2020-02-07,169.24,169.38,165.12,166.42,1250212.0,-6.100000000000023,0,476750.0,1
2020-02-10,165.94,167.22,163.64,164.38,777603.0,-4.860000000000014,0,-472609.0,0
2020-02-11,166.0,168.58,165.32,167.44,1067927.0,1.5,1,290324.0,1
2020-02-12,168.48,173.56,168.44,173.14,1101434.0,7.139999999999986,1,33507.0,1
2020-02-13,171.5,172.86,169.86,172.54,948791.0,4.060000000000002,1,-152643.0,0
2020-02-14,172.5,173.48,169.96,170.46,798452.0,-1.039999999999992,0,-150339.0,0
2020-02-17,173.3,174.4,172.34,172.52,724621.0,0.020000000000010232,1,-73831.0,0
2020-02-18,170.48,172.18,168.48,169.36,725402.0,-3.9399999999999977,0,781.0,1
2020-02-19,170.7,171.4,168.88,170.12,564040.0,-0.3599999999999852,0,-161362.0,0
2020-02-20,170.3,172.78,169.08,169.44,796069.0,-1.259999999999991,0,232029.0,1
2020-02-21,168.88,170.52,165.2,166.02,1325162.0,-4.280000000000001,0,529093.0,1
2020-02-24,160.5,160.86,156.32,157.0,2141019.0,-11.879999999999995,0,815857.0,1
2020-02-25,159.66,159.68,154.6,155.3,1386340.0,-5.199999999999989,0,-754679.0,0
2020-02-26,153.2,157.5,150.8,155.66,1858288.0,-4.0,0,471948.0,1
2020-02-27,151.6,153.08,146.68,148.82,2502014.0,-4.3799999999999955,0,643726.0,1
2020-02-28,141.98,152.5,140.88,148.58,3739464.0,-3.019999999999982,0,1237450.0,1
2020-03-02,154.5,155.38,147.98,149.64,2635031.0,7.659999999999997,1,-1104433.0,0
2020-03-03,152.0,156.42,150.7,153.1,2509384.0,-1.4000000000000057,0,-125647.0,0
2020-03-04,153.54,156.0,152.64,154.64,1623774.0,2.6399999999999864,1,-885610.0,0
2020-03-05,155.1,155.46,148.74,150.5,1390939.0,-3.039999999999992,0,-232835.0,0
2020-03-06,146.0,148.66,143.72,147.2,1797998.0,-7.900000000000006,0,407059.0,1
