Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header_x,release time_x,article content_x,formatted date_x,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,header_y,release time_y,article content_y,formatted date_y,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,header,release time,article content,formatteddate,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-09-03 14:54:00,146.4,146.4,146.36,146.36,576.0,-0.07999999999998407,0,-1008.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:55:00,146.32,146.32,146.32,146.32,37.0,-0.0800000000000125,0,-539.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:56:00,146.3,146.3,146.24,146.24,647.0,-0.07999999999998407,0,610.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:57:00,146.24,146.28,146.24,146.28,315.0,-0.020000000000010232,0,-332.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:58:00,146.26,146.26,146.24,146.24,267.0,0.0,0,-48.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:59:00,146.22,146.24,146.2,146.22,692.0,-0.039999999999992035,0,425.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:00:00,146.28,146.4,146.28,146.4,1016.0,0.18000000000000682,1,324.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:01:00,146.38,146.42,146.38,146.38,1057.0,0.09999999999999433,1,41.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:02:00,146.38,146.38,146.38,146.38,289.0,0.0,0,-768.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:03:00,146.4,146.4,146.36,146.36,89.0,-0.01999999999998181,0,-200.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:04:00,146.34,146.34,146.32,146.32,226.0,-0.0800000000000125,0,137.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:05:00,146.32,146.34,146.32,146.34,375.0,0.0,0,149.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:06:00,146.36,146.38,146.36,146.38,263.0,0.060000000000002274,1,-112.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:07:00,146.4,146.4,146.4,146.4,141.0,0.039999999999992035,1,-122.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:08:00,146.46,146.46,146.44,146.44,279.0,0.039999999999992035,1,138.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
